,FlightDate,Airport,Origin_AirTraffic_count,Dest_AirTraffic_count,Total_AirTraffic_count,Date,Holiday
204,2018-07-24,DTW,480,480,960,,
205,2018-07-25,DTW,485,485,970,,
206,2018-07-26,DTW,492,492,984,,
207,2018-07-27,DTW,493,493,986,,
208,2018-07-28,DTW,339,341,680,,
209,2018-07-29,DTW,463,461,924,,
210,2018-07-30,DTW,491,491,982,,
211,2018-07-31,DTW,480,479,959,,
212,2018-08-01,DTW,483,483,966,,
213,2018-08-02,DTW,489,489,978,,
214,2018-08-03,DTW,490,490,980,,
215,2018-08-04,DTW,342,343,685,,
216,2018-08-05,DTW,462,461,923,,
217,2018-08-06,DTW,490,490,980,,
218,2018-08-07,DTW,478,477,955,,
219,2018-08-08,DTW,483,483,966,,
220,2018-08-09,DTW,490,490,980,,
221,2018-08-10,DTW,491,491,982,,
222,2018-08-11,DTW,341,342,683,,
223,2018-08-12,DTW,461,460,921,,
224,2018-08-13,DTW,488,489,977,,
225,2018-08-14,DTW,483,483,966,,
226,2018-08-15,DTW,489,488,977,,
227,2018-08-16,DTW,488,488,976,,
228,2018-08-17,DTW,490,490,980,,
229,2018-08-18,DTW,339,339,678,,
230,2018-08-19,DTW,459,458,917,,
231,2018-08-20,DTW,483,487,970,,
232,2018-08-21,DTW,472,472,944,,
233,2018-08-22,DTW,478,478,956,,
234,2018-08-23,DTW,481,479,960,,
235,2018-08-24,DTW,483,483,966,,
236,2018-08-25,DTW,326,324,650,,
237,2018-08-26,DTW,440,439,879,,
238,2018-08-27,DTW,474,475,949,,
239,2018-08-28,DTW,463,464,927,,
240,2018-08-29,DTW,471,470,941,,
241,2018-08-30,DTW,470,469,939,,
242,2018-08-31,DTW,472,474,946,,
243,2018-09-01,DTW,299,303,602,2018-09-01,Labor Day Weekend
244,2018-09-02,DTW,318,319,637,2018-09-02,Labor Day Weekend
245,2018-09-03,DTW,418,420,838,2018-09-03,Labor Day
246,2018-09-04,DTW,422,422,844,,
247,2018-09-05,DTW,420,419,839,,
248,2018-09-06,DTW,418,418,836,,
249,2018-09-07,DTW,426,422,848,,
250,2018-09-08,DTW,306,304,610,,
251,2018-09-09,DTW,439,438,877,,
252,2018-09-10,DTW,473,472,945,,
253,2018-09-11,DTW,454,455,909,,
254,2018-09-12,DTW,459,458,917,,
255,2018-09-13,DTW,471,471,942,,
256,2018-09-14,DTW,472,472,944,,
257,2018-09-15,DTW,315,316,631,,
258,2018-09-16,DTW,439,438,877,,
259,2018-09-17,DTW,474,474,948,,
260,2018-09-18,DTW,456,457,913,,
261,2018-09-19,DTW,460,459,919,,
262,2018-09-20,DTW,471,471,942,,
263,2018-09-21,DTW,473,473,946,,
264,2018-09-22,DTW,315,316,631,,
265,2018-09-23,DTW,440,439,879,,
266,2018-09-24,DTW,474,474,948,,
267,2018-09-25,DTW,456,457,913,,
268,2018-09-26,DTW,460,459,919,,
269,2018-09-27,DTW,471,471,942,,
270,2018-09-28,DTW,473,473,946,,
271,2018-09-29,DTW,315,316,631,,
272,2018-09-30,DTW,438,438,876,,
273,2018-10-01,DTW,475,475,950,,
274,2018-10-02,DTW,455,456,911,,
275,2018-10-03,DTW,460,460,920,,
276,2018-10-04,DTW,473,473,946,,
277,2018-10-05,DTW,475,475,950,,
278,2018-10-06,DTW,315,316,631,,
279,2018-10-07,DTW,427,426,853,,
280,2018-10-08,DTW,474,473,947,2018-10-08,Columbus Day
281,2018-10-09,DTW,454,453,907,,
282,2018-10-10,DTW,455,455,910,,
283,2018-10-11,DTW,472,474,946,,
284,2018-10-12,DTW,473,473,946,,
285,2018-10-13,DTW,319,319,638,,
286,2018-10-14,DTW,432,432,864,,
287,2018-10-15,DTW,475,475,950,,
288,2018-10-16,DTW,459,458,917,,
289,2018-10-17,DTW,461,461,922,,
290,2018-10-18,DTW,473,474,947,,
291,2018-10-19,DTW,475,475,950,,
292,2018-10-20,DTW,319,319,638,,
293,2018-10-21,DTW,433,433,866,,
294,2018-10-22,DTW,475,475,950,,
295,2018-10-23,DTW,459,457,916,,
296,2018-10-24,DTW,461,461,922,,
297,2018-10-25,DTW,473,474,947,,
298,2018-10-26,DTW,473,473,946,,
299,2018-10-27,DTW,302,302,604,,
300,2018-10-28,DTW,381,382,763,,
301,2018-10-29,DTW,405,406,811,,
302,2018-10-30,DTW,373,371,744,,
303,2018-10-31,DTW,340,341,681,,
304,2018-11-01,DTW,410,410,820,,
305,2018-11-02,DTW,419,419,838,,
306,2018-11-03,DTW,304,304,608,,
307,2018-11-04,DTW,408,405,813,,
308,2018-11-05,DTW,438,440,878,,
309,2018-11-06,DTW,411,413,824,,
310,2018-11-07,DTW,438,433,871,,
311,2018-11-08,DTW,460,460,920,,
312,2018-11-09,DTW,464,463,927,,
313,2018-11-10,DTW,318,321,639,,
314,2018-11-11,DTW,427,424,851,2018-11-11,Veterans Day
315,2018-11-12,DTW,468,468,936,,
316,2018-11-13,DTW,459,458,917,,
317,2018-11-14,DTW,464,464,928,,
318,2018-11-15,DTW,467,469,936,,
319,2018-11-16,DTW,465,466,931,,
320,2018-11-17,DTW,315,316,631,,
321,2018-11-18,DTW,398,397,795,,
322,2018-11-19,DTW,407,409,816,,
